Event,relation,Event
,,事件A，包含，事件B--即事件B这一事件中包含了事件A这一事件
,,事件A，受影响于，事件B--即事件A是由于事件B而产生的
,,事件A，关联，事件B--其他的事件相关性
,,注意，当事件可以是多个关系时，应按照上述示例关系的顺序规定优先级(优先考虑第一个示例关系、再考虑第二个示例关系）
,,注意，当事件A受到事件B影响，又有事件A受到事件C影响，且事件B也受到事件C影响，只写事件A受影响于事件B即可（跳过间接影响），以”政治法律委员会结束工作“为例，它既受到”政治法律委员会撤销“的影响，因而又受到”政治法律委员会第一次会议“的影响，那么只写”政治法律委员会结束工作“受影响于”政治法律委员会撤销“即可。

中国人民共和国中央人民政府成立,包含,开国大典
中国人民共和国中央人民政府成立,受影响于,中国人民政治协商会议第一届全体会议
中华人民共和国中央人民政府政务院成立,受影响于,中华人民共和国中央人民政府委员会第一次会议
中华人民共和国中央人民政府政务院成立,受影响于,中华人民共和国中央人民政府委员会第三次会议
中华人民共和国中央人民政府政务院成立,受影响于,政务院第一次政务扩大会议
中华人民共和国最高人民法院组成,受影响于,第一届全国人民代表大会召开
中华人民共和国最高人民法院组成,受影响于,中华人民共和国中央人民政府委员会第一次会议
中华人民共和国最高人民法院组成,受影响于,中华人民共和国中央人民政府委员会第三次会议
中华人民共和国最高人民法院组成,关联,最高人民法院更名
政治法律委员会第一次会议,受影响于,中央人民政府政务院政治法律委员会组成
政治法律委员会撤销,受影响于,第一届全国人民代表大会召开
政治法律委员会结束工作,受影响于,政治法律委员会撤销
